,ruid,sum(rb)
918,49321,20760049881420.0
919,36367,44278749253.0
920,10451,3034455456564.0
921,103437,4977566942.0
922,53061,258282999.0
923,94955,36822244228.0
924,17202,80928033.0
925,12330,128089466831344.0
926,88915,11515617045114.0
927,31487,116190135310215.0
928,14987,125001834382.0
929,93947,20221715268.0
930,105913,739140236.0
931,104199,3365876129570.0
932,50996,493713373592.0
933,94542,6783499536423.0
934,57700,1716120451623.0
935,22051,183567649904.0
936,16279,59359232.0
937,75748,282906288.0
938,29726,9873433296.0
939,14753,13704533215.0
940,68758,123839071155804.0
941,80051,209898622336.0
942,62778,33697852420901.0
943,31901,224093901752425.0
944,17088,99746814528.0
945,61469,488329186751301.0
946,7352,22110504773714.0
947,84526,14686985493.0
948,4274,5529418710736.0
949,9056,65840093972362.0
950,47196,25178643992.0
951,62281,13610868393065.0
952,7238,380305491058.0
953,99016,520657463693.0
954,34465,205923340.0
955,12787,228745019.0
956,105137,16644949348.0
957,82611,8852840417139.0
958,3304,1653555984510.0
959,50019,83456212755110.0
960,91611,151396243624465.0
961,80952,10837229521371.0
962,56392,880686503810.0
963,53059,1991537008762.0
964,83925,355956746853.0
965,7618,855452195626.0
966,5575,24035183395.0
967,91661,172801090226720.0
968,103479,477226636836.0
969,50033,30986782156116.0
970,37753,6062404025307.0
971,49110,12888019034335.0
972,32093,10847640432553.0
973,89272,9190362791.0
974,7130,196968.0
975,34228,791526730.0
976,103493,212131287.0
977,13635,8507195886.0
978,102045,51321278.0
979,38187,70657104350820.0
980,57140,119616859721670.0
981,50859,3173940530422.0
982,91952,3393207345442.0
983,79076,10710806311710.0
984,67348,348459848708684.0
985,29590,547818258993974.0
986,73067,56262871650067.0
987,11428,654770908327.0
988,99633,3803848600061.0
989,32399,1637949072860.0
990,99916,2128168314.0
991,104047,122185847054.0
992,98525,24474731380.0
993,30289,17189994625258.0
994,15167,8936935657206.0
995,38569,165577389086534.0
996,21686,11706329556632.0
997,3830,135679135991596.0
998,21649,29219212149.0
999,16216,4556136182822.0
1000,38372,14997287284354.0
1001,78409,13027225393882.0
1002,95096,24340099021102.0
1003,23916,13607112079.0
1004,96911,667873323030.0
1005,95283,2417607228085.0
1006,76955,260674913.0
1007,44275,16651626.0
1008,46197,66354242286228.0
1009,2547,3052906152933.0
1010,49155,104483975060226.0
1011,7209,3773357388311.0
1012,90148,1299251730287.0
1013,99188,27200972772.0
1014,10945,31011592092.0
1015,56757,14393335005296.0
1016,59861,4763680198.0
1017,105181,189541321.0
1018,100613,3008153430.0
1019,58479,3677863733538.0
1020,105690,90702849.0
1021,10464,315249669.0
1022,91282,3067870182588.0
1023,37798,27288444491472.0
1024,54645,333453409825582.0
1025,58105,30883993770.0
1026,1385,401940875957.0
1027,74027,273060080225.0
1028,90288,1008417544019.0
1029,84927,3269599507199.0
1030,7597,25754054668.0
1031,96906,11612829026.0
1032,93997,1093986818766.0
1033,2579,14924034581585.0
1034,48207,5952277437978.0
1035,49561,13915199951108.0
1036,94002,22566428773002.0
1037,1685,2175036106803.0
1038,62787,3550784040.0
1039,92581,103752002.0
1040,14602,5368709120.0
1041,86329,28146736449455.0
1042,58614,87827502974538.0
1043,56683,8248294742058.0
1044,20829,281853212513334.0
1045,80762,4881901281357.0
1046,22426,110673299.0
1047,82914,26222003499452.0
1048,56427,357874212171.0
1049,23688,94473411949.0
1050,42110,11859707583860.0
1051,51256,5527607238.0
1052,28679,1391248371949.0
1053,51051,9547377392705.0
1054,45140,1043703864215.0
1055,93334,3808874167.0
1056,89460,390547793.0
1057,23988,902067388.0
1058,48694,825761516352.0
1059,99122,1799996.0
1060,14504,574605279219.0
1061,13614,52886293.0
1062,1494,68496769.0
1063,20744,1793237041985502.0
1064,19443,34293788876557.0
1065,50832,48783148775370.0
1066,70415,915748217912127.0
1067,97698,89642239897519.0
1068,36893,2327319611.0
1069,46684,9165414450347.0
1070,70663,2276146469259.0
1071,92047,85468564701.0
1072,93529,66902978501.0
1073,19256,6806417959.0
1074,21502,18214460445623.0
1075,8324,543964882400976.0
1076,68502,58294399396507.0
1077,3169,91921433186451.0
1078,102656,140496902.0
1079,61071,2517969791440.0
1080,93404,23540956324.0
1081,75258,5723392281845.0
1082,70835,3550348508.0
1083,11667,4794599847.0
1084,89553,126074556514.0
1085,44856,3131404084354.0
1086,70259,25094365503813.0
1087,77877,7397553627542.0
1088,51347,1446552523473.0
1089,9368,168404211998.0
1090,42090,185982974584.0
1091,35920,2084325112.0
1092,5627,5870826100.0
1093,9002,625806778593.0
1094,50251,1455721916433.0
1095,100340,5479675841.0
1096,50877,3062383627570.0
1097,91761,726988192.0
1098,50564,32867633665607.0
1099,24212,3883352003007.0
1100,70775,4713713842985.0
1101,51940,5190431528429.0
1102,90846,2771735647.0
1103,11235,8719873281253.0
1104,14394,209454849588.0
1105,75421,6521112120.0
1106,24921,463047579.0
1107,93494,566477538.0
1108,53111,435268704234976.0
1109,2814,90115795908421.0
1110,15142,108488163162803.0
1111,94770,9421004165.0
1112,47862,32840867051606.0
