,ruid,count
1312,32585,24879
1313,11318,200
1314,79432,3122
1315,104512,6
1316,101899,2
1317,75783,220197
1318,4819,185927
1319,25491,101729
1320,91519,647204
1321,102046,1390
1322,86353,991
1323,89391,153
1324,99285,7
1325,15741,72733
1326,8819,291890
1327,25622,37535
1328,17553,1322
1329,23273,6108
1330,104229,459
1331,15032,10969
1332,2260,21133
1333,55145,1023
1334,22527,3356102
1335,55005,132880
1336,3267,403819
1337,43956,12912
1338,24183,6092
1339,15847,4
1340,88628,1556
1341,47526,210
1342,72117,7
1343,51212,1618882
1344,55634,26155
1345,97569,2034774
1346,50826,233373
1347,36619,41520
1348,92282,136
1349,78252,65628
1350,22224,33
1351,43528,12747
1352,24998,2091
1353,86136,27801
1354,16785,5
1355,51950,6474
1356,45727,141727
1357,95509,256
1358,29587,68353
1359,35002,546390
1360,56808,3
1361,70979,19136210
1362,11551,1287
1363,27774,50
1364,24421,4568806
1365,19041,408572
1366,68742,242419
1367,25950,577929
1368,71583,495247
1369,9774,294597
1370,96808,796167
1371,58316,18147
1372,28304,23870
1373,81402,11
1374,96491,6309
1375,102315,9
1376,23574,2
1377,51005,15535
1378,56300,4038
1379,57618,15
1380,43257,694430
1381,60436,79832
1382,70691,89129
1383,29924,33718
1384,36196,7519
1385,5475,25530
1386,21466,3665
1387,55960,88995
1388,32151,1575
1389,3322,6
1390,51962,55
1391,80700,4
1392,99587,762
1393,5185,59252
1394,30743,1526282
1395,72495,60717
1396,66803,120673
1397,74444,4075
1398,89755,29
1399,50772,5567
1400,88975,16962
1401,88914,2
1402,59535,10
1403,58449,6
1404,22720,142
1405,3599,1
1406,27993,19479
1407,29062,2882260
1408,14922,317319
1409,3246,1748
1410,60837,2528
1411,55372,24224
1412,22274,31664
1413,41259,6606
1414,93127,25258
1415,105563,8
1416,103683,34704
1417,28044,313042
1418,96492,3442
1419,68357,2088
1420,99283,24
1421,5686,812
1422,78514,4865
1423,104555,25
1424,106555,10
1425,25315,1440939
1426,16737,7456
1427,61204,254595
1428,56559,118818
1429,32196,1305537
1430,68199,331869
1431,28048,5416
1432,38990,1383108
1433,21491,7612366
1434,60269,623864
1435,84462,72274
1436,9472,562
1437,83894,1168
1438,9646,614379
1439,49576,8
1440,78291,1366202
1441,45138,46120
1442,105161,1011
1443,9632,3873
